A18K1ODH1I2MVB,B007WTAJTO,0mie,"[0, 0]","Purchased for my device worked as advertised. You can never have too much phone memory since download lot of stuff a no brainer for me.",4.0,MOAR SPACE!!!,1382659200,2013-10-25,409,0,0
A2FII3I2MBMUIA,B007WTAJTO,1K3,"[0, 0]",works as expected. should have sprung for higher capacity. its made bit cheesier than earlier versions; paint looks not as clean as before,5.0,nothing to really say....,1356220800,2012-12-23,715,0,0
A3H99DFEG68SR,B007WTAJTO,1m2,"[0, 0]","This has worked out great.Had diff. bran 64gb card if went south after 3 months.This one has held up pretty well since had my S3 now my Note3.*** update 3/21/14I've had for few months have had ZERO issue's since transferred my S3 to my Note3 into note2. card reliable solid!Cheers!",5.0,Great buy at this price!!!  *** UPDATE,1384992000,2013-11-21,382,0,0
A375ZM4U047O79,B007WTAJTO,2&amp;1/2Men,"[0, 0]","Bought Retail Packaging arrived legit orange envelope english version not asian picture shows. arrived quickly bought 32 16 both retail packaging for my htc one sv Lg Optimus both cards working order probably best price you'll get for nice sd card",5.0,best deal around,1373673600,2013-07-13,513,0,0
A2IDCSC6NVONIZ,B007WTAJTO,2Cents!,"[0, 0]",It's mini storage. doesn't do anything else it's not supposed to. purchased to add additional storage to my Microsoft Surface Pro tablet which only come 64 128 GB. does what it's supposed to SanDisk has long standing reputation speaks for itself.,5.0,Not a lot to really be said,1367193600,2013-04-29,588,0,0
A26YHXZD5UFPVQ,B007WTAJTO,2K1Toaster,"[0, 0]",have my phone never skips beat. File transfers speedy have not had any corruption issues memory fade issues as would expect Sandisk brand. Great card to own. Why entrust your precious files to slightly cheaper piece of crap? If lose everything can forgive yourself for not spending extra couple bucks trusted product goes through good QA?,5.0,Works well,1382140800,2013-10-19,415,0,0
A3CW0ZLUO5X2B1,B007WTAJTO,"35-year Technology Consumer ""8-tracks to 802.11""","[1, 1]",It's hard to how affordable digital has become. 32 GB device one quarter sie of postage stamp would have been science fiction less than generation ago.I picked up for portable music when didn't want to schlep (or risk) phone iPod. Works great all SD card readers.Select confidence.,5.0,32 GB for less than two sawbucks...what's not to like?,1404950400,2014-10-07,62,1,1
A2CYJO155QP33S,B007WTAJTO,4evryoung,"[0, 0]","Works HTC Rezound. Was running short of space 64GB Sandisk so ordered when came out fast no issues.",5.0,Loads of room,1395619200,2014-03-24,259,0,0
A2S7XG3ZC4VGOQ,B007WTAJTO,53rdcard,"[0, 0]","in my galaxy s4 super fast card am happy not happy having to still type to fill required words though",5.0,works great,1381449600,2013-11-10,393,0,0
A1RTQROTWR5NCB,B007WTAJTO,808TREX50,"[0, 0]",SD Card because can take music video downloads personal videos filesdocs multimedia images fast transfer rate of Class 10 speed. can take games large files easily still have enough space for apps. It&#34;s great for video cameras camcorders supplied adapter. Fits easily into smartphones tablets SD Card slots. recommend this 32GB SD Card to everyone.",3.0,32GB MicroSD Card.,1368230400,2013-11-05,398,0,0
